adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003058103975535168,0,0,0,0.00016129032258064516,0,0.00024119633381572598,0,0.0001786352268667381,0,0,0,0.00026595744680851064,0,0.0007510013351134845,0,0,0.00046254585314805174,0.0012304461479260348,0.003040137750831944,0.0035011108178003734,0.004270760018990059,0.0017024577023006726,0.002643883509258944,0.002735177749384508,0.002722737703530882,0.002565321131106875,0.002430410691626139,0.002275013222120188,0.0026132562555048703,0.002409232204491425,0.0034412310662392236,0.002803392798664156,0.002466971785965544,0.002662588108912383,0.0033213452801729424,0.0026950869745673177,0.0027243572866387468,0.002839421449142864,0.0031073438647791604,0.001752642999182841,0.0033466848005247124,0.003056948519619689,0.0022378176054643232,0.0033697319389931956,0.0025912319821693513,0.0030153688328875164,0.0035833845951018743,0.002966079505859197,0.0024044248643594083,0.00241697012143352,0.003183002114059386,0.002214841881955122,0.0027624590503614746,0.002770013670857454,0.003175726877132722,0.0032851706235458673,0.0036125050619650245,0.002422793224587511,0.0034921911562943025,0.0031645657910971225,0.002807501324482144,0.0033621062105828833,0.003548743161888878,0.0030888012222601074,0.0029979688358419787,0.0037079563019973105,0.002397587550866869,0.003361200275321778,0.002285887507250234,0.0004618362636774955
adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777777777777776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002531645569620253,0,0,0.0001834862385321101,0,0,0.0001869158878504673,0.00026881720430107527,0,0,0,0,0,0,0.0002587991718426501,0,0,0,0.00026205450733752617,0,0.000378449869335203,0.0001544808293274551,0.009696896019459151,0.01081500370582779,0.011233322282835538,0.008438531599006347,0.007568571923024658,0.008009388879681773,0.006604065583411105,0.007046964504537902,0.0070025335956628255,0.0058237044621546495,0.006421859480336252,0.007984876849014286,0.012113077987043669,0.00886845577042267,0.009447155535761543,0.0102864428335869,0.009847906202459726,0.010562711728527211,0.009564932145146074,0.009568107839055253,0.007851847305019461,0.009447534120199472,0.01118459068255626,0.010658351364076071,0.010228457942291607,0.009884726939449995,0.007813733542796792,0.007409334011203302,0.00822467060780146,0.007125517500903968,0.006335931024392953,0.006384700328130343,0.006623072955632026,0.006658409651959116,0.008392813795838228,0.007098710392970089,0.006845977118256493,0.007680531723471595,0.00823313419866262,0.007411172660745777,0.008993119701470174,0.008832330078153315,0.00884958696173046,0.00892612261553269,0.00915642737055126,0.007760412354739945,0.008178696443048505,0.008939749941294744,0.007869268770750818,0.008543577938452994,0.006710980786279455,0.001018521237218924
age factors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012297097884899166,0,0,0,0,0,8.841732979664013e-05,0.000736776131396222,0.00044042990873280905,0.0010482781764964665,0.0013746049350445255,0.0010758372277286385,0.001173430925059372,0.0012648024285833617,0.0006263604620499276,0.0008624739221377089,0.0004802820396196123,0.00041984752172105795,0.00023616682830991358,0.00043830799545356623,0.00045191501445000234,0.000295313415606351,0.0001080404867508245,0.0008350827259801822,0.000430135366935269,0.00038322082813608237,6.0742624347640864e-05,0.0003311320683598314,0.0005970940218843245,0.0005126414059932065,0.0007637149796624017,0.0005262775977814387,0.0006508187678979047,0.0005195699631558219,0.0005073782832958819,0.00015651993486605594,0.00015799854101545882,0.00028384099114204115,0.00014591178052716515,0.00030150077457786155,0.0002016389619016877,0.00042478063972357146,0.0004715146891781641,0.0004083751592216958,0.00030944736708631075,0.00019361959410899056,0.00029306770810303524,0.00027865241128707433,0.00032722382266684585,0.00021445171137645812,0.0003969350565818003,0.00031006310401306364,0.0003848355610542699,0.00019349629790477702,0.00042567702691170573,0.00015915598372460903,0
aged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154320987654321,0,0.001388888888888889,0.0032967032967032967,0,0,0,0,0.0038461538461538464,0.00738885738885739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004264392324093817,0.0006484952194697958,0.00015576323987538941,0.00020161290322580645,0.00046628407460545194,0.0014265040314244363,0.00034671235111763746,0.00022967386311437756,0.0008259490208948693,0.00030864197530864197,0.0004025764895330112,0.0005023640661938534,0.0021048999309868873,0.0009262349799732978,0.0009359089547768792,0.0007128007128007129,0.0001155268022181146,0.0001564455229292168,0.0019324827934606215,0.004089443051872571,0.00405404990762812,0.003168951638832911,0.0027343791229338314,0.0033614544377890063,0.0022020424104670644,0.0030752897700123136,0.001655118847406246,0.0015560721780295487,0.0018960962719927268,0.0026024046522543924,0.0028272721228164988,0.0015487596225172173,0.002351631904808344,0.003157412791733214,0.002516932418155316,0.002454394501381653,0.001646783614154768,0.0027849117565569388,0.0020089694781879664,0.0021486592849769754,0.0022478784653962264,0.0022372648814966843,0.0023840673054223273,0.0026555191662317435,0.0015253411428691117,0.0016224897531314003,0.001969869366530006,0.0014830715412783024,0.001011767448128661,0.0010910367527105337,0.0012839694455123061,0.0015871199469970048,0.0019399736720072602,0.0013761020817559637,0.0009459013727947808,0.001542529249372201,0.0014356001563818944,0.0016480306576703988,0.0017646395176718023,0.001471715002075903,0.001433891950629289,0.0011769248717588693,0.0019345256321012486,0.001725029068627669,0.001810382256330713,0.001465229212950508,0.0017194129003530241,0.0014705658761349362,0.001551319999452817,0.00028836053263323573
"aged, 80 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045289855072463763,0.0004589452603471295,0.00026205450733752617,0.0007128007128007129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044307685151743993,0.00012141079341953495,0.00040037704192709585,0.0005181043416180856,0.0005541002208936486,0.0003397129787281567,0.0003322463977670242,0.00024390712643881262,0.00021085989321969372,0.0002826646688539272,0.00023229565388081412,0.0004521441953796726,0.00019639121396980414,0.0005590183055385751,0.0002662657005622262,0.00011008704557091653,0.0002490734296429147,0.00045932628366806275,0.0004394624071657564,0.00047044680653598195,0.00012643052753719112,0.0003314504022565024,0.00046748191526505066,0.0005027146775968268,0.0002517507363416946,0.00044272806844056775,0.00032030225788460306,0.0004147691517329332,0.0002866728713932365,0.0005886152925228098,4.798414436968655e-05
child,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444444444442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154320987654321,0,0,0,0,0,0,0,0,0,0,0,0.0013888888888888892,0,0,0,0.002150537634408602,0,0,0,0,0,0,0.0019801980198019802,0,0,0.0014430014430014426,0,0,0,0,0,0,0,0,0,0.0024872448979591836,0.0007077326343381389,0.005205266186076421,0.0022763959204637166,0.0021806853582554517,0.0017051273099660197,0.0018407067187554995,0.0012555568208075232,0.0010337802188022452,0.0019171967725022387,0.0008452237694114949,0.00182902488458044,0.0025486867387815404,0.001494496325535124,0.0013519402326147851,0.0015537811098558759,0.0004502572898799314,0.0013554763554763556,0.000684921867206293,0.001002328252911782,0.0017686984473573003,0.0013082851958226827,0.0022116205562049277,0.0012833509701020603,0.0016280546437062312,0.0014616244772959854,0.0015181694292513918,0.001592488479665533,0.0012087434402421196,0.001044955195849568,0.00109874849394024,0.001130219669710928,0.0018087142954548933,0.0007910724092892182,0.001213486732070915,0.0010743705773698575,0.001115749110413871,0.0012330015832228453,0.001151452656277528,0.001301966202706592,0.0013502567311097864,0.0009316048062095345,0.0008241772130538106,0.0009620916584054744,0.0006829959738700268,0.0015912197848926301,0.0007996526309517946,0.0012565477854630008,0.0011253197539041985,0.000911800834705369,0.0009756738250328553,0.0003261644445725801,0.0006801967476083032,0.0013545757840755439,0.0011603704461462959,0.001110887261396177,0.0008615345763216748,0.0010026599964482509,0.000631469988184118,0.0006738328325114255,0.0005662577381270571,0.0005727435242051726,0.0005568154899097847,0.0005557586378075741,0.000579912451307884,0.0005813551813181234,0.0007994173873474372,0.0004613869012079711,0.0004861283665163393,0.0005216129967572467,0.0005955506519624172,6.754289886820009e-05
"child, preschool",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011682242990654206,0,0,0,0,0.00048705775840261414,0.0006791593829026985,0.00171552050317684,0.000923936240854486,0.000937656922940587,0.0009228128652088149,0.000629124168769293,0.0008608981826605746,0.0005955965705166716,0.0005137986761449099,0.00042051029653480336,0.0007376911538940589,0.0008645925602462316,0.0003762371754445898,0.0005584341516400023,0.0004162220503202689,0.0005000667062303619,0.0006734822443958665,0.0005395777608455464,0.00040092770416044494,0.0010217244716378892,0.0004226017189990989,0.0005420894838426558,0.0004523941553005062,0.0002667550793981,0.0006621805290685138,0.0004863885869072726,0.0006639807885293465,0.00033470275869414227,0.0002804734927521573,0.0005616167470385508,0.00019206546115309268,0.0002567517369787706,0.0004365532899958034,0.0008917152814930295,0.00041854381163212594,0.00026950007835454593,0.00021565137387800164,0.0002673134732831234,0.00015872810859886703,0.00035908494213207875,9.193558993417719e-05,0.0002688880956854813,0.00030776296710631154,0.00040066574528838496,0.0002818033555025715,0.00027415656402810824,0.0003497176641286404,0.00011808197102305185,0.0002168571225415573,0.00023203135138967607,0
infant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013888888888888892,0,0,0,0,0,0,0,0,0,0,0,0,0.0039603960396039604,0,0,0,0,0,0,0,0,0,0,0.0018494897959183672,0.001691191071925017,0.004350772421134894,0.0013442771917348188,0.001869158878504673,0.0019208211143695016,0.0016302086244697432,0.001961318990974939,0.002342748212792266,0.0016660813284607497,0.0007735946364105208,0.002236572583794806,0.0024878147834996476,0.0018951594921557372,0.00146383281573499,0.0013868919242751017,0.0004502572898799314,0.00199596257288565,0.0010390150160713109,0.0011852261160503164,0.002184114692340128,0.0009337478446923724,0.001298245285884663,0.0008558426545021483,0.0011406427333106276,0.0017432670397856229,0.0010397764329251053,0.0011111962936964043,0.0008202070970613171,0.0009824272841734603,0.000937419610063148,0.0019305892365745446,0.0013444124831712653,0.0011141818490328279,0.0011499468343321318,0.0012272220484354005,0.0007308391427288722,0.001275523185663507,0.0011922382089348041,0.001017483266004873,0.0011501382094937685,0.0007095790447234335,0.0006730795369780376,0.0010459203516254112,0.0011380127460158774,0.0012138487206507155,0.0011638158106868262,0.001343908918398216,0.0008336162351872779,0.0009504689561352409,0.0008678345245692606,0.0003745183210760536,0.00047670508323028005,0.0005442099541716063,0.0009812743911180055,0.0005729085878456416,0.0006286174309428861,0.0007263906935365301,0.0003562819578036333,0.00038683631763868315,0.0003382153463719532,0.0003701937208114579,0.0006488632545918207,0.0004631514588776104,0.0006219436650081474,0.0005813596513893754,0.00040683981994422714,0.0005193672367232715,0.0004601123837984324,0.00019749870631573097,0.0003601272853733335,0.00027036520738601787
infant mortality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028429282160625445,0,0,0,0,0,0,0,0,0,0,0.00019342359767891685,0,0.00031152647975077883,0.0002620545073375263,0,0.0001838908600229788,0.00020255136819553998,0,5.7720057720057706e-05,4.882335709403377e-05,2.9472443265546733e-05,6.546644844517187e-05,8.185892090905283e-05,5.344449788894234e-05,2.3417010116148377e-05,0,0,0,0,0,0,0,0,7.590708972218006e-05,0.0002652091215362238,0.0001628310898827616,0.00011816140848398909,7.388092133854847e-05,6.823144104803493e-05,7.689350249903881e-05,0.0003229278794402584,5.327082889409759e-05,0.00014309171944639924,8.037939072421829e-05,0.0004143166234264459,0.0004932699501568482,0.0003524628449008364,0.0003893724094962485,0.0003039664432383409,0,8.95979020979021e-05,0.00031390537866522755,0,0.00018483269885794431,0.00037677235421188193,6.837218910292779e-05,2.9535117254415515e-05,0.0002593253190478429,2.8074115665356547e-05,2.5936300446104367e-05,0,0,5.3837249993270354e-05,0.00013054146550778517,6.813699121391429e-05,0.00011541146969337089,1.6569459172852606e-05,4.841495727263114e-05,0.00018776404318572994
"infant, newborn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005580357142857143,0.0004204892966360856,0.00035536602700781805,0,0.0001557632398753894,0.0002956989247311828,0.0005962473681268516,0.0006273807159139584,0.000860846993264718,0.00016239566078794375,0,0.0009270282186948853,0.00028591146603568966,0.0001182033096926714,0,0.00015576323987538941,0.00029949086552860134,0.0008649239418470188,0.0008932276450141285,0.0007706995758113768,0.0025037496848480524,0.002179564979070011,0.002097039757399939,0.0008066854863715055,0.001348066943047511,0.0022683456235522708,0.0012304947826283427,0.001365379201014233,0.0015908352483746386,0.0011493958234127038,0.0014822570380518484,0.002605557045368011,0.0021606466430582824,0.0014696343806252037,0.0016172964210617233,0.0014336783841835815,0.0016847960450211243,0.0022600007590620878,0.002278575664872392,0.0016869627720291292,0.0016301004636871056,0.0015101216388920763,0.0019133781707387,0.0021200251312106042,0.0023230141732190545,0.0026870364571456346,0.003083240697689903,0.0028477947035243176,0.002285005373246726,0.002079266307136505,0.0016903915813547912,0.0008281432302165496,0.0009955391110193655,0.001436139483421527,0.001645167974485136,0.0007208896351955051,0.001352153275162677,0.0011741675696659295,0.000743989750000691,0.0011873531238109382,0.0014716783676198342,0.0011189481076886657,0.0015060342710916815,0.0008876805506580069,0.0006150823174809042,0.001186123048779266,0.0007403372543158525,0.0011795965828940254,0.0011885440645253839,0.0007604695829944942,0.0005978437012200274,0.00012160443014293198
