kw,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
abnormalities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001006036217303823,0,0,0,0.0004077471967380224,0,0.0005002354048964219,0,0,0.00020496003279360522,0,0.00034551265440096736,0.00021436227224008573,0,0,0.00025879917184265007,0.0005319148936170213,0,0,0.0010671825002758469,0,0.00020794824399260627,6.81663258350375e-05,0,0.0001346801346801347,0.00015319893139442015,0.0002589001697206216,0.00047193683347342244,0.0003505549263082938,0.0002828516326107445,0.00019308389250315063,0.00018589861751152075,0.00013284771192977114,0.0001978154296035091,0.0001720134170465296,0.00046838407494145194,0.00020321476592103656,0.0005225560230942362,0,0.0002512908038944171,0.00021933031144904229,0,8.960573476702513e-05,0.00019823570224997521,0,0,0.00033242575824732475,0.000390399074609601,0.00014074595355383535,0,5.6069526212503504e-05,4.546281142025823e-05,0,0.00018713450292397665,2.555061576984007e-05,0.00010615711252653931,0.0002007347881624366,6.55307994757536e-05,0.00010982550665090348,0.00028673835125448023,5.178127589063794e-05,0,0.0002658160552897394,0.0004467310829464174,0.0002203818079730489,0,0.00012145409256126806,0,3.1225604996096786e-05,0,0.0001651126651126651,4.338394793926249e-05,0.00023699347665413414,8.188331627430913e-05,0
adrenal cortex hormones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017730496453900708,0,0.00021240441801189465,0,0.00029700029700029703,0.00046051213840187525,0.0007710845804069132,0,0.00012845849802371542,6.713211600429645e-05,0.0001958618882915355,0.0001242024399828279,0.00017633262627830376,3.607503607503608e-05,3.618992472495657e-05,5.714285714285715e-05,3.025901718712176e-05,4.13907284768212e-05,6.30715862503942e-05,8.364001338240214e-05,5.5005500550054984e-05,5.12583935619458e-05,6.311537490532692e-05,4.620431548306611e-05,0.00010804048675082453,0,0,3.138731952291276e-05,0,5.767012687427912e-05,7.176175098672408e-05,7.785736530675804e-05,0,0,5.606952621250352e-05,0,4.50755014649538e-05,0,0,0,0,7.645259938837921e-05,0.00011970600205894325,4.032258064516129e-05,2.8568979801731273e-05,3.453396415374522e-05,3.4671659385618204e-05,9.372498556128601e-05,0,2.6896904166330444e-05,7.048753881010323e-05,2.8943560057887122e-05,0,0,6.0768108896451154e-05,0,0,9.146856889502968e-05,0
adverse effects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001926040061633282,0,0,0,0,0.0007496390626735275,0.0023077003382469623,0.002686469638051715,0.0012950012950012951,0.001776415441011714,0.002053757673282079,0.001101258581235698,0,0,0.0001599232368463138,0.0005377879246932657,0.000593658117888207,0.0009937726757500394,0.0021154263483179245,0.003050282867678859,0.0015589377673988726,0.002076886921312462,0.0012383825814591411,0.0010133942869685387,0.0012906235873700028,0.0014598271991699985,0.001348411563635791,0.0012386772486534438,0.0018614899350662955,0.0021850369894626798,0.001773440788414392,0.0011555290029308647,0.0018621724446775273,0.0013499838724634167,0.0011707716002139928,0.001126231996351601,0.0008508165741792331,0.0019743109798858755,0.0011389813921511512,0.0007263352022155198,0.0010341241923021993,0.0017708617228079607,0.001145624630997491,0.0011244435165958567,0.0002545904099530393,0.001208582870723648,0.001053913518351944,0.001365232730151445,0.0015080967031026813,0.0007015267057038288,0.0015760688988991217,0.0004735458154700067,0.0015700007823721668,0.0008046947393297139,0.0017618760818852732,0.0013893961634932528,0.0008066177212665886,0.0011990253979169798,0.0015103313458039907,0.0008646834268663372,0.0010382952293914187,0.0014831576999002674,0.000853719101046257,0.0012147277236505393,0.0009287779712892953,0.0012296719974557388,0.0010449609648651955,0.0009488508751315542,0.0004329094445541094
alcoholism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000825082508250825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021505376344086021,0,9.044862518089723e-05,0,0,0.0004165509580672036,0.00022092267706302793,0,0,0,0.00012980269989615786,0,0.0004851004851004851,5.281225244256669e-05,0.00037287623162374944,0.0003393189655336381,0.0002791905064632337,0.0002529286628635381,4.912073877591119e-05,6.371600864717262e-05,0.00034306264947540617,0.0002507852348974569,0.00012540538018245026,0.00029152847152847153,9.075331899886557e-05,0.00025986682802761884,0.0001808976264983834,0.0004608204565063926,6.875687568756874e-05,7.688759034291864e-05,0.0002058260828553794,8.17460966238862e-05,0.0001435124260098672,0.0005730553558195255,4.654843364520785e-05,0,8.121205666205132e-05,0,0.00012581605692477599,0.00019860457746671253,0.0001249375312343828,0,0,0.00011887328796623312,0.00010994606441980794,0.00013735864716256873,7.137949802368014e-05,0,0,3.822629969418959e-05,5.187260089220873e-05,6.932654216185626e-05,0.00010436198200555242,0.00014849712068102828,5.8015408892601885e-05,0.00010419841170249002,0,3.458173392813914e-05,6.638630033779821e-05,8.158111290826027e-05,4.68384074941452e-05,0,9.988364731447736e-05,2.0085161082991887e-05,4.449421204458321e-05,3.1985670419651997e-05,0
alopecia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001388888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.699235344095159e-05,0,0.000579684941234439,0,0,0,0,0.0005539727761949984,0,0,0,0,0,0,0.00029902321954077964,0.0005041311789778048,0,7.130124777183602e-05,0,3.6840554081933384e-05,0,8.105264973183644e-05,1.7178588607160032e-05,4.976114649681529e-05,5.6296296296296266e-05,2.342633588680396e-05,6.783095971117856e-05,0.00020417404523364788,0.00016325887227526572,2.9732703000029723e-05,4.892846658185732e-05,6.311537490532692e-05,0,6.823609689525761e-05,9.210647508519848e-05,0,0,0.00012021730089415679,0.00016019479687299755,0,0.00013977250819356083,0.0001231527093596059,4.6535436735073745e-05,0,9.092562284051647e-05,0,9.59824489236254e-05,0,8.271982794275788e-05,0,0,0,4.743833017077799e-05,6.904170118751727e-05,0,0,0.000221879126854657,0.00015686630094754501,3.458173392813916e-05,4.195686833934715e-05,6.029908345393151e-05,0,5.1030822616860586e-05,0.0001969979001259741,0.00022804382891150789,0.0003148661373351037,8.42725772693989e-05,5.47645125958379e-05
analogs & derivatives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63020030816641e-05,0.0003115264797507788,0,0.0001304291117777488,0,0.000536093047106263,0.002260417395169468,0.0033801337050434524,0.002195272048213225,0.0008144748051580349,0,0.00045289855072463763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1359306249733004e-05,0.000166374496818595,0.00011130279926540153,0.0003551882795608646,0,8.970218873340509e-05,0.00030238002341006635,0.0003006516102721641,9.748013842179652e-05,0.0009660231653561825,0.0001545375445668701,0.0010163778643063012,0.00012130033964095099,0.00012815583749839805,0.0003141906532649267,3.748687959214277e-05,0.0001888341543513957,0.00026410371237957445,8.410428931875523e-05,0.00023431702432627502,9.50759188307081e-05,0.00016258078817807777,0,3.9561656842188546e-05,2.4281274281274268e-05,0,3.834061805076298e-05,0,0.00016729335287744566,0,3.889991053020581e-05,0,6.883083621462417e-05,0,2.5473812920317915e-05,0.00017461124552296765,2.9806259314456043e-05,6.064532542873286e-05,7.437007437007438e-05,0.00014938284351491494,3.213470869886564e-05,0.00010450777630801912,0
aneurysm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010288065843621396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023894862604540022,0,0,0,0,0,0.0056179775280898875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006492589978828512,0.00047382136934375743,0.0007967550340431698,0.0008241635393627524,0.000899817028849287,0.0019493976452369566,0.0005847183850078207,0.00020977554017201594,0.00048145537080660964,0.0004383702939659618,0.0010368643701977036,0.0005364582023620925,0.0009797961737886645,0.00027173913043478256,0.0009568313306631064,0.0003628447024673439,0.00046200046200046204,0.00047826480358827866,0.0001187652863913539,6.637021304838391e-05,0.0001381334714668048,5.370569280343717e-05,0,0.00022340425531914895,4.397537379067723e-05,8.290536240846802e-05,0.0002629162152580181,0.00018893074471167774,0.00014123477613533136,0.00018032464224517207,0,0,8.462384700008463e-05,5.382131324004306e-05,9.754194303550526e-05,5.593153979529056e-05,6.82360968952576e-05,5.628729032984352e-05,8.145975887911373e-05,0.00019617074701820463,5.745805561939784e-05,7.689350249903885e-05,0,0.00010964912280701752,0,6.801333061280012e-05,6.007449237053946e-05,0,0,4.61361014994233e-05,0,0,0.00017482517482517483,0,5.511463844797177e-05,6.20347394540943e-05,0,7.220737959419453e-05,0,0,0,0,0,3.617945007235891e-05,0,0.00028139853614440267,0,3.0127741624487826e-05,0,0.0001957910734778698,0.00018254837531945964
"aneurysm, infected",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006492589978828512,0,0,0.00028756290438533436,0,0.00031882671767894153,0.0001929570670525808,0,0,0,0.0011672278338945004,0.00027605244996549346,0.0003273322422258593,0.00041806020066889637,0,0,0.0003198464736926276,0,0,0,0,0,0,4.0526849037487354e-05,0,5.1535765821480125e-05,3.6189924724956576e-05,2.758620689655172e-05,5.5000962516844055e-05,0,0.0001655716190397264,0,2.82079490000282e-05,8.280202036929701e-05,4.877097151775263e-05,0,7.873395795606646e-05,0,4.072987943955688e-05,0,0,0,0,0.00015182186234817817,0.0001990346817933025,5.52608311229001e-05,0,0,0,4.901960784313725e-05,0,0,0,0,0,0,0,6.109855196431844e-05,0,9.820663767752216e-05,6.635700066357e-05,2.6896904166330465e-05,0,0,0.00017678678334416038,8.396889903319788e-05,2.0812520812520806e-05,8.8679167089273e-05,4.4886577230161534e-05,0.000132504484012314,0
anti-infective agents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005330490405117271,0,0,0,0,0,0,0,0,0,0,0,0.0009057971014492753,0,0,0,0,7.776010502663539e-05,0.0001576292559899117,7.575757575757576e-05,0,0,3.404255319148935e-05,9.527997654646731e-05,0,4.19041233657392e-05,4.000000000000001e-05,0,0,0,0,4.583791712504583e-05,0,0,0,0.0001023541453428864,0.00012714305580388183,0,0,5.4585152838427956e-05,0.000190292001133985,0,0.00014388346431690085,0,4.912073877591117e-05,0.0001708341253370898,9.011378692229756e-05,0.00010615183028976135,0.00016968325791855203,4.0150967638320084e-05,2.935219701194633e-05,6.59063159063159e-05,0.0001857276612101035,8.86606045336204e-05,0,0.00012995889063654686,0,0.00010331312270370442,3.884098500737979e-05,2.5169896803423117e-05,6.022847440116102e-05,0.0001342080269712401,5.9290737576775457e-05,9.032465445194472e-05,7.042134508713528e-05,0.00013813395043233318,8.657351770811378e-05,0,4.8902536108267934e-05,0
antigens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013736263736263737,0.002415458937198068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003600606909430439,0.003259448472616309,0.004358824814705517,0.006676511424766659,0.002818572912030856,0.00931875472198053,0.006118983167235073,0.006494896002855484,0.0037067680239486413,0.007927415564071514,0.00589818972702812,0.002470739137405804,0.0033722316331011985,0.004248564674096589,0.0017727743271221533,0.0033583498536769564,0.0012149799885648942,0.0011555355684910343,0.0018027856670892442,0.001086948812096727,0.0013539364310820434,0.0007619047619047619,0.001174964693867377,0.0015883905693808433,0.0011360436166470886,0.0018973204566229262,0.0008958395487643112,0.0009705405086643658,0.0002673692148924347,0.0005240734815898214,0.0003668026846834794,0.0002462217694005773,0.000507416081186573,0.0006593837039381594,0.00021431240625620547,0.0002202394398012198,0.00030579237679746653,0.0001169761661061559,0.0003800781004428421,0.00015835594583222664,0.00019153398390686527,0.00011785430726478763,0.0001348593736136989,0,0,7.57862826828344e-05,5.201019399802361e-05,0,3.147425406017878e-05,3.331667499583543e-05,0,3.8325923654760095e-05,0,0,0,7.348618459729571e-05,0,0,0,4.984051036682616e-05,3.5463508050216333e-05,0,0,0,0,4.371584699453552e-05,0,0,0,0,0,0
